,precision,recall,f1-score,support
access//,1.0,1.0,1.0,2.0
camera//,1.0,1.0,1.0,158.0
dvr//,1.0,1.0,1.0,9.0
gateway//,1.0,0.9545454545454546,0.9767441860465117,22.0
modem//,1.0,1.0,1.0,2692.0
nvr//,1.0,1.0,1.0,1.0
printer//,1.0,1.0,1.0,537.0
router//,0.9998558038932949,0.9998558038932949,0.9998558038932949,6935.0
switch//,0.9285714285714286,1.0,0.962962962962963,13.0
video//,1.0,1.0,1.0,3.0
accuracy,0.9998071731585036,0.9998071731585036,0.9998071731585036,0.9998071731585036
macro avg,0.9928427232464724,0.995440125843875,0.9939562952902771,10372.0
weighted avg,0.9998140598314144,0.9998071731585036,0.9998078375059334,10372.0
