,precision,recall,f1-score,support
//,0.0,0.0,0.0,0.0
//1080p,0.8,1.0,0.888888888888889,4.0
//1681v,1.0,1.0,1.0,2.0
//1781a,1.0,1.0,1.0,13.0
//1781ef,1.0,1.0,1.0,6.0
//1781va,1.0,1.0,1.0,48.0
//1783vaw,1.0,1.0,1.0,14.0
//2014r,1.0,1.0,1.0,4.0
//2017r,1.0,0.5,0.6666666666666666,2.0
//3050a,1.0,1.0,1.0,3.0
//5110a,1.0,1.0,1.0,2.0
//5210a,1.0,1.0,1.0,3.0
//5250a,1.0,1.0,1.0,1.0
//6300nx,1.0,1.0,1.0,1.0
//6300vnl,1.0,1.0,1.0,6.0
//7300n,1.0,1.0,1.0,1.0
//7300ra,1.0,1.0,1.0,4.0
//7800n,1.0,1.0,1.0,5.0
//7800tn,1.0,1.0,1.0,744.0
//8800nl,1.0,1.0,1.0,132.0
//a2004ns,1.0,1.0,1.0,3.0
//a3004ns,1.0,1.0,1.0,168.0
//a704ns,1.0,1.0,1.0,25.0
//a809,1.0,1.0,1.0,2.0
//a840,1.0,1.0,1.0,2.0
//a910,1.0,1.0,1.0,6.0
//a9j40a,0.8333333333333334,1.0,0.9090909090909091,20.0
//a9j40b,0.6666666666666666,1.0,0.8,8.0
//a9j48b,0.6666666666666666,1.0,0.8,2.0
//a9u23a,1.0,1.0,1.0,2.0
//a9u23c,1.0,1.0,1.0,1.0
//ac1200,1.0,1.0,1.0,8.0
//ac1750,1.0,1.0,1.0,3.0
//adsl-350,1.0,1.0,1.0,13.0
//ag 5900,1.0,1.0,1.0,3.0
//ap60,1.0,1.0,1.0,1.0
//b2375dnf,1.0,1.0,1.0,1.0
//b6t06a,1.0,1.0,1.0,1.0
//b9s59a,0.8333333333333334,1.0,0.9090909090909091,10.0
//b9s61a,0.75,1.0,0.8571428571428571,3.0
//b9s63a,0.0,0.0,0.0,0.0
//b9s64a,1.0,1.0,1.0,1.0
//b9s65a,0.6,1.0,0.7499999999999999,3.0
//b9s80a,0.6363636363636364,1.0,0.7777777777777778,7.0
//b9s81a,0.6666666666666666,1.0,0.8,2.0
//befvp41,1.0,1.0,1.0,1.0
//bv1250,1.0,1.0,1.0,1.0
//c140x,1.0,1.0,1.0,2.0
//c1900,1.0,1.0,1.0,24.0
//c309a,1.0,1.0,1.0,1.0
//c310,1.0,1.0,1.0,1.0
//c4700,1.0,1.0,1.0,1.0
//c6200,1.0,1.0,1.0,1.0
//c6300,1.0,1.0,1.0,61.0
//cam2cam,1.0,1.0,1.0,4.0
//cb436a,1.0,1.0,1.0,7.0
//ce278a,1.0,1.0,1.0,44.0
//ce285a,1.0,1.0,1.0,5.0
//channel10,0.6666666666666666,1.0,0.8,4.0
//cj1w-etn21,1.0,1.0,1.0,4.0
//clp-680,1.0,1.0,1.0,6.0
//cm2320fxi,1.0,1.0,1.0,1.0
//cm2320nf,1.0,1.0,1.0,1.0
//cm749a,0.7774390243902439,1.0,0.8747855917667239,255.0
//cm752a,0.6,1.0,0.7499999999999999,48.0
//cn577a,0.7407407407407407,1.0,0.851063829787234,40.0
//cn579a,0.75,1.0,0.8571428571428571,3.0
//cn583a,0.8125,1.0,0.896551724137931,26.0
//color laserjet mfp m277dw,0.0,0.0,0.0,36.0
//color laserjet mfp m277n,0.0,0.0,0.0,6.0
//color laserjet mfp m281fdn,1.0,1.0,1.0,5.0
//color laserjet mfp m281fdw,1.0,1.0,1.0,33.0
//color laserjet mfp m377dw,1.0,1.0,1.0,11.0
//color laserjet mfp m476dn,0.0,0.0,0.0,6.0
//color laserjet mfp m476dw,0.0,0.0,0.0,6.0
//color laserjet mfp m477fdn,1.0,1.0,1.0,36.0
//color laserjet mfp m477fdw,1.0,1.0,1.0,43.0
//color laserjet mfp m477fnw,1.0,1.0,1.0,18.0
//cq877a,1.0,1.0,1.0,1.0
//cq877b,1.0,1.0,1.0,1.0
//cr769a,0.9090909090909091,1.0,0.9523809523809523,10.0
//cr770a,1.0,1.0,1.0,5.0
//cv078a,0.5714285714285714,1.0,0.7272727272727273,4.0
//cwge111,1.0,1.0,1.0,1.0
//cx017a,1.0,1.0,1.0,6.0
//cx017b,1.0,1.0,1.0,3.0
//cx042a,0.6666666666666666,1.0,0.8,4.0
//cx042b,0.8571428571428571,1.0,0.923076923076923,6.0
//cx052b,1.0,1.0,1.0,2.0
//cx510de,1.0,1.0,1.0,2.0
//cx725,1.0,1.0,1.0,3.0
//cz284b,1.0,1.0,1.0,2.0
//d3q16b,1.0,1.0,1.0,2.0
//d3q19a,1.0,1.0,1.0,3.0
//d3q20a,0.5238095238095238,1.0,0.6875000000000001,11.0
//d3q20b,0.6956521739130435,1.0,0.8205128205128205,48.0
//d9l19a,0.6756756756756757,1.0,0.8064516129032258,25.0
//dap-1360,1.0,1.0,1.0,2.0
//dcp-7065dn,1.0,1.0,1.0,4.0
//dcs-2120,1.0,1.0,1.0,1.0
//dcs-930l,1.0,1.0,1.0,4.0
//dcs-932l,1.0,1.0,1.0,2.0
//deskjet 2540 series,1.0,0.875,0.9333333333333333,8.0
//deskjet 2600 series,1.0,1.0,1.0,25.0
