,precision,recall,f1-score,support
access//dap-1360,1.0,1.0,1.0,2.0
camera//dcs-930l,1.0,1.0,1.0,3.0
camera//dcs-932l,1.0,1.0,1.0,1.0
camera//m1054,1.0,1.0,1.0,2.0
camera//m3006,1.0,1.0,1.0,2.0
camera//m7cam,1.0,1.0,1.0,5.0
camera//snc-er580,1.0,1.0,1.0,6.0
camera//vb-c10,1.0,1.0,1.0,3.0
camera//vb-c50i,1.0,1.0,1.0,6.0
camera//vb-c60,1.0,1.0,1.0,31.0
camera//vb-h41,1.0,1.0,1.0,6.0
camera//vb-m40,1.0,1.0,1.0,20.0
camera//vb-m600,1.0,1.0,1.0,2.0
camera//win32,1.0,1.0,1.0,10.0
camera//wvc54gc,1.0,1.0,1.0,2.0
dvr//channel10,1.0,1.0,1.0,4.0
dvr//mpeg4,1.0,1.0,1.0,4.0
gateway configuration utility need computer able run sun java virtual machine 1.5 compatible jvm additional details visit sun java web site download jvms popular operating systems ms windows linux solaris also need sun java webstart installed computer note jvm 1.5 includes webstart technology download install separately java webstart technology several platforms available sun web site ca directly access gateway//a840,0.0,0.0,0.0,0.0
gateway//a840,1.0,0.5,0.6666666666666666,2.0
gateway//mbr-800,1.0,1.0,1.0,3.0
gateway//mbr1200,1.0,1.0,1.0,8.0
gateway//rg-501h,1.0,1.0,1.0,2.0
modem//pk5001z,1.0,1.0,1.0,1924.0
modem//td-w8950n,1.0,1.0,1.0,22.0
modem//td-w8960n,1.0,1.0,1.0,728.0
printer//c4700,1.0,1.0,1.0,1.0
printer//c6200,1.0,1.0,1.0,1.0
printer//ce278a,1.0,1.0,1.0,17.0
printer//color laserjet mfp m277dw,0.0,0.0,0.0,20.0
printer//color laserjet mfp m277n,0.0,0.0,0.0,1.0
printer//color laserjet mfp m281fdw,1.0,1.0,1.0,17.0
printer//color laserjet mfp m377dw,1.0,1.0,1.0,1.0
printer//color laserjet mfp m476dn,0.0,0.0,0.0,3.0
printer//color laserjet mfp m476dw,0.0,0.0,0.0,2.0
printer//color laserjet mfp m477fdn,1.0,1.0,1.0,23.0
printer//color laserjet mfp m477fdw,1.0,1.0,1.0,29.0
printer//color laserjet mfp m477fnw,1.0,1.0,1.0,12.0
printer//d3q16b,1.0,1.0,1.0,2.0
printer//e709a,1.0,1.0,1.0,1.0
printer//e809a,1.0,1.0,1.0,2.0
printer//ews-nic5,1.0,1.0,1.0,38.0
printer//f4500,1.0,1.0,1.0,1.0
printer//hl-2270dw,1.0,1.0,1.0,8.0
printer//hl-2280dw,1.0,1.0,1.0,2.0
printer//hl-4150cdn,1.0,1.0,1.0,2.0
printer//hl-5250dn,1.0,1.0,1.0,2.0
printer//lan-72mbps,1.0,1.0,1.0,1.0
printer//laserjet 200 color m251nw,1.0,1.0,1.0,4.0
printer//laserjet 200 colormfp m276nw,1.0,1.0,1.0,6.0
printer//laserjet 400 color m451dn,0.0,0.0,0.0,25.0
printer//laserjet 400 color m451dw,0.0,0.0,0.0,5.0
printer//laserjet 400 color m451nw,0.0,0.0,0.0,5.0
printer//laserjet 400 colormfp m475dn,0.0,0.0,0.0,2.0
printer//laserjet 400 m401dn,0.7,0.875,0.7777777777777777,8.0
printer//laserjet 400 m401dne,1.0,0.95,0.9743589743589743,20.0
printer//laserjet 400 m401n,1.0,1.0,1.0,9.0
printer//laserjet 400 mfp m425dn,0.8888888888888888,0.8888888888888888,0.8888888888888888,9.0
printer//laserjet 500 colormfp m570dn,0.0,0.0,0.0,7.0
printer//laserjet mfp m130fn,1.0,1.0,1.0,2.0
printer//laserjet mfp m130fw,1.0,1.0,1.0,5.0
printer//laserjet mfp m227fdn,1.0,1.0,1.0,4.0
printer//laserjet mfp m227fdw,1.0,1.0,1.0,8.0
printer//laserjet mfp m426dw,1.0,1.0,1.0,2.0
printer//laserjet mfp m426fdn,1.0,1.0,1.0,13.0
printer//laserjet mfp m426fdw,1.0,1.0,1.0,17.0
printer//laserjet pro m201dw,1.0,1.0,1.0,4.0
printer//laserjet pro m501dn,1.0,1.0,1.0,10.0
printer//laserjet pro mfp m225dw,1.0,1.0,1.0,2.0
printer//laserjet pro mfp m521dn,1.0,1.0,1.0,3.0
printer//m276nw,1.0,1.0,1.0,1.0
printer//m277c6,1.0,1.0,1.0,1.0
printer//m277dw,0.6363636363636364,1.0,0.7777777777777778,35.0
printer//m277n,0.5,1.0,0.6666666666666666,1.0
printer//m375nw,1.0,1.0,1.0,1.0
printer//m401dn,0.8,0.5714285714285714,0.6666666666666666,7.0
printer//m401dne,0.5,1.0,0.6666666666666666,1.0
printer//m401n,1.0,1.0,1.0,2.0
printer//m425dn,0.0,0.0,0.0,1.0
printer//m451dn,0.6666666666666666,1.0,0.8,50.0
printer//m451dw,0.4444444444444444,1.0,0.6153846153846153,4.0
printer//m451nw,0.7058823529411765,1.0,0.8275862068965517,12.0
printer//m475dn,0.75,1.0,0.8571428571428571,6.0
printer//m476dn,0.75,1.0,0.8571428571428571,9.0
printer//m476dw,0.75,1.0,0.8571428571428571,6.0
printer//m476nw,1.0,1.0,1.0,4.0
printer//m570dn,0.5882352941176471,1.0,0.7407407407407407,10.0
printer//m570dw,1.0,1.0,1.0,1.0
printer//mfc-7860dw,1.0,1.0,1.0,4.0
printer//mfc-8480dn,1.0,1.0,1.0,2.0
printer//mfc-8880dn,1.0,1.0,1.0,2.0
printer//mfc-8890dw,1.0,1.0,1.0,1.0
printer//mfc-9120cn,1.0,1.0,1.0,1.0
printer//mfc-9460cdn,1.0,1.0,1.0,1.0
printer//mfc-9970cdw,1.0,1.0,1.0,2.0
printer//mfc-l2700dw,1.0,1.0,1.0,2.0
printer//p2055dn,1.0,1.0,1.0,1.0
printer//x451dn,1.0,1.0,1.0,5.0
router//ac1200,1.0,1.0,1.0,8.0
router//c1900,1.0,1.0,1.0,24.0
router//dgl-5500a1,1.0,1.0,1.0,2.0
router//dhp-1320,1.0,1.0,1.0,16.0
router//dir-300,1.0,1.0,1.0,68.0
router//dir-320,1.0,1.0,1.0,17.0
router//dir-400,1.0,1.0,1.0,5.0
router//dir-524,1.0,1.0,1.0,21.0
router//dir-600,1.0,1.0,1.0,51.0
router//dir-600m,1.0,1.0,1.0,1.0
router//dir-610,1.0,1.0,1.0,1.0
router//dir-615,1.0,1.0,1.0,48.0
router//dir-652,1.0,1.0,1.0,12.0
router//dir-655,1.0,1.0,1.0,112.0
router//dir-657,1.0,1.0,1.0,11.0
router//dir-685,1.0,1.0,1.0,3.0
router//dir-825,1.0,1.0,1.0,266.0
router//dir-827,1.0,1.0,1.0,4.0
router//dir-835,1.0,1.0,1.0,8.0
router//dir-857,1.0,1.0,1.0,9.0
router//dir-862l,1.0,1.0,1.0,9.0
router//dir-866l,1.0,1.0,1.0,23.0
router//dsl-2540u,1.0,1.0,1.0,2.0
router//dsl-2640b,1.0,1.0,1.0,20.0
router//dsl-2640u,1.0,1.0,1.0,19.0
router//dsl-2641b,1.0,1.0,1.0,2.0
router//dsl-526b,1.0,1.0,1.0,1.0
router//ex2700,1.0,1.0,1.0,1.0
router//fr40,1.0,1.0,1.0,1.0
router//gt-ac5300,1.0,1.0,1.0,476.0
router//jffs2,1.0,1.0,1.0,3.0
router//mr3420,1.0,1.0,1.0,165.0
router//n300,1.0,1.0,1.0,35.0
router//n450,1.0,1.0,1.0,68.0
router//n600,1.0,1.0,1.0,66.0
router//n750,1.0,1.0,1.0,64.0
router//r7000,1.0,1.0,1.0,3.0
router//r7800,1.0,1.0,1.0,194.0
router//r9000,1.0,1.0,1.0,119.0
router//rt-n66u,1.0,1.0,1.0,1.0
router//td-w8960n,1.0,1.0,1.0,46.0
router//td-w8968,1.0,1.0,1.0,389.0
router//tew-652brp,1.0,1.0,1.0,1.0
router//tl-wdr3600,1.0,1.0,1.0,1.0
router//tl-wdr4300,1.0,1.0,1.0,2.0
router//tl-wr1043nd,1.0,1.0,1.0,197.0
router//tl-wr741nd,1.0,1.0,1.0,841.0
router//tl-wr841hp,1.0,1.0,1.0,67.0
router//tl-wr841n,1.0,0.5,0.6666666666666666,2.0
router//tl-wr841nd,0.999507874015748,1.0,0.9997538764459758,2031.0
router//tl-wr941hp,1.0,1.0,1.0,93.0
router//tl-wr941nd,1.0,1.0,1.0,334.0
router//wa801n,1.0,1.0,1.0,3.0
router//wbr-2200,1.0,1.0,1.0,53.0
router//wdr4300,1.0,1.0,1.0,1.0
router//wnr2000v5,1.0,1.0,1.0,122.0
router//wnrt-627,1.0,1.0,1.0,2.0
router//wr1042nd,1.0,1.0,1.0,2.0
router//wr1043nd,1.0,1.0,1.0,1.0
router//wr1505n3,1.0,1.0,1.0,7.0
router//wr3005n3,1.0,1.0,1.0,12.0
router//wr340g,1.0,1.0,1.0,3.0
router//wr740n,1.0,1.0,1.0,4.0
router//wr741nd,1.0,1.0,1.0,2.0
router//wr840n,1.0,1.0,1.0,1.0
router//wr841n,1.0,1.0,1.0,252.0
router//wr842nd,1.0,1.0,1.0,21.0
router//wr941n,1.0,1.0,1.0,1.0
router//wr941nd,1.0,1.0,1.0,110.0
router//wrt54g,1.0,1.0,1.0,10.0
router//ws-c3550-24,1.0,0.3333333333333333,0.5,3.0
router//xwr100,1.0,1.0,1.0,20.0
switch//j9279a,1.0,1.0,1.0,2.0
switch//rs485,1.0,1.0,1.0,1.0
switch//ws-c3550-24,0.0,0.0,0.0,0.0
switch//ws-c3550-48,1.0,1.0,1.0,3.0
video//m7014,1.0,1.0,1.0,1.0
accuracy,0.9918404351767905,0.9918404351767905,0.9918404351767905,0.9918404351767905
macro avg,0.9062068342381506,0.9173485677796023,0.9069369584082367,9927.0
weighted avg,0.987678782279268,0.9918404351767905,0.9891607126031805,9927.0
