,precision,recall,f1-score,support
//,0.0,0.0,0.0,0.0
/airlive/,1.0,1.0,1.0,1.0
/american/,1.0,1.0,1.0,1.0
/asus/,1.0,1.0,1.0,520.0
/avtech/,1.0,1.0,1.0,25.0
/axis/,1.0,1.0,1.0,7.0
/bec/,1.0,1.0,1.0,750.0
/brother/,0.96,1.0,0.9795918367346939,48.0
/canon/,1.0,0.5,0.6666666666666666,6.0
/cisco/,1.0,1.0,1.0,7.0
/cradlepoint/,1.0,1.0,1.0,11.0
/d-link/,1.0,0.9992458521870287,0.999622783855149,1326.0
/dd-wrt/,0.875,1.0,0.9333333333333333,7.0
/dell/,1.0,1.0,1.0,4.0
/gateway/,1.0,1.0,1.0,5.0
/hikvision/,1.0,1.0,1.0,900.0
/hot/,1.0,1.0,1.0,5.0
/hp/,1.0,1.0,1.0,2769.0
/huawei/,1.0,1.0,1.0,2.0
/ibm/,1.0,1.0,1.0,1.0
/iptime/,1.0,1.0,1.0,1361.0
/juniper/,1.0,1.0,1.0,546.0
/lexmark/,1.0,1.0,1.0,26.0
/linksys/,1.0,0.9945945945945946,0.997289972899729,185.0
/microseven/,1.0,1.0,1.0,5.0
/mikrotik/,1.0,1.0,1.0,14.0
/mocet/,1.0,1.0,1.0,3.0
/moxa/,1.0,1.0,1.0,6.0
/netgear/,1.0,1.0,1.0,1382.0
/ricoh/,1.0,1.0,1.0,4.0
/samsung/,1.0,1.0,1.0,28.0
/siemens/,1.0,1.0,1.0,3.0
/soho/,0.0,0.0,0.0,1.0
/sony/,1.0,1.0,1.0,6.0
/speedport/,1.0,1.0,1.0,2.0
/tivo/,1.0,1.0,1.0,232.0
/totolink/,1.0,1.0,1.0,13.0
/tp-link/,0.9996983408748115,1.0,0.9998491476844169,3314.0
/trendnet/,1.0,1.0,1.0,31.0
/westell/,1.0,1.0,1.0,444.0
/westermo/,1.0,1.0,1.0,152.0
/western digital/,1.0,1.0,1.0,5.0
/zoom/,1.0,1.0,1.0,4.0
/zte/,1.0,1.0,1.0,3.0
/zyxel/,1.0,1.0,1.0,3589.0
accuracy,0.9996620479891856,0.9996620479891856,0.9996620479891856,0.9996620479891856
macro avg,0.9518821853527736,0.9443075654840362,0.9461411942483109,17754.0
weighted avg,0.9997299370090753,0.9996620479891856,0.9996649923003906,17754.0
