,precision,recall,f1-score,support
/airlive/ap60,1.0,1.0,1.0,1.0
/american/mx-3070n,1.0,1.0,1.0,1.0
/asus/gt-ac5300,1.0,1.0,1.0,485.0
/asus/rt-ac68u,1.0,1.0,1.0,1.0
/asus/rt-n10u,1.0,1.0,1.0,6.0
/asus/rt-n12,1.0,1.0,1.0,1.0
/asus/rt-n16,1.0,1.0,1.0,10.0
/asus/rt-n18u,1.0,1.0,1.0,1.0
/asus/rt-n66u,1.0,1.0,1.0,2.0
/asus/wl-500w,1.0,1.0,1.0,1.0
/axis/m1054,1.0,1.0,1.0,2.0
/axis/m3006,1.0,1.0,1.0,2.0
/axis/m7014,1.0,1.0,1.0,2.0
/axis/p7214,1.0,1.0,1.0,1.0
/bec/6300vnl,1.0,1.0,1.0,6.0
/bec/7800tn,1.0,1.0,1.0,744.0
/brother/dcp-7065dn,1.0,1.0,1.0,4.0
/brother/hl-2270dw,1.0,1.0,1.0,8.0
/brother/hl-2280dw,1.0,1.0,1.0,2.0
/brother/hl-4150cdn,1.0,1.0,1.0,2.0
/brother/hl-5250dn,1.0,1.0,1.0,2.0
/brother/mfc-7360n,1.0,1.0,1.0,11.0
/brother/mfc-7460dn,1.0,1.0,1.0,2.0
/brother/mfc-7820n,1.0,1.0,1.0,1.0
/brother/mfc-7840w,1.0,1.0,1.0,1.0
/brother/mfc-7860dw,1.0,1.0,1.0,4.0
/brother/mfc-8480dn,1.0,1.0,1.0,2.0
/brother/mfc-8880dn,1.0,1.0,1.0,2.0
/brother/mfc-8890dw,1.0,1.0,1.0,1.0
/brother/mfc-9120cn,1.0,1.0,1.0,1.0
/brother/mfc-9460cdn,1.0,1.0,1.0,1.0
/brother/mfc-9970cdw,1.0,1.0,1.0,2.0
/brother/mfc-l2700dw,1.0,1.0,1.0,2.0
/cisco/ws-c3550-24,1.0,1.0,1.0,3.0
/cisco/ws-c3550-48,1.0,1.0,1.0,4.0
/cradlepoint/mbr-800,1.0,1.0,1.0,3.0
